pressure_bar,temperature_K,H2O_D0.1mm_timescale_s,NH3_D0.1mm_timescale_s,realistic_pressure_bar,H2O_realistic_timescale_s,NH3_realistic_timescale_s
9.86418087e+01,5.97544141e+02,1.29324674e-03,1.37249132e-03,9.86418087e+01,nan,nan
9.58357085e+01,5.93538164e+02,1.34117505e-03,1.37219958e-03,9.58357085e+01,nan,nan
9.30891559e+01,5.88629956e+02,1.40379940e-03,1.37240588e-03,9.30891559e+01,nan,nan
9.03992619e+01,5.83704662e+02,1.47133622e-03,1.37325702e-03,9.03992619e+01,nan,nan
8.77652487e+01,5.78763388e+02,1.54426426e-03,1.37478258e-03,8.77652487e+01,nan,nan
8.51864280e+01,5.73842411e+02,1.62253678e-03,1.37699559e-03,8.51864280e+01,nan,nan
8.26621477e+01,5.68921873e+02,1.70698536e-03,1.37992769e-03,8.26621477e+01,nan,nan
8.01917218e+01,5.64005788e+02,1.79814601e-03,1.38360465e-03,8.01917218e+01,nan,nan
7.77744662e+01,5.59089876e+02,1.89677534e-03,1.38806026e-03,7.77744662e+01,nan,nan
7.54096925e+01,5.54175450e+02,2.00361262e-03,1.39332719e-03,7.54096925e+01,nan,nan
7.30967154e+01,5.49261427e+02,2.11954050e-03,1.39944325e-03,7.30967154e+01,nan,nan
7.08348511e+01,5.44348085e+02,2.24552123e-03,1.40644806e-03,7.08348511e+01,nan,nan
6.86234182e+01,5.39435064e+02,2.38265647e-03,1.41438553e-03,6.86234182e+01,nan,nan
6.64617376e+01,5.34522424e+02,2.53217956e-03,1.42330278e-03,6.64617376e+01,nan,nan
6.43491333e+01,5.29610069e+02,2.69549165e-03,1.43325132e-03,6.43491333e+01,nan,nan
6.22849317e+01,5.24697993e+02,2.87417948e-03,1.44428705e-03,6.22849317e+01,nan,nan
6.02684625e+01,5.19786136e+02,3.07004930e-03,1.45647096e-03,6.02684625e+01,nan,nan
5.82990580e+01,5.14874465e+02,3.28515852e-03,1.46986952e-03,5.82990580e+01,nan,nan
5.63760537e+01,5.09962941e+02,3.52185762e-03,1.48455527e-03,5.63760537e+01,nan,nan
5.44987881e+01,5.05051551e+02,3.78283654e-03,1.50060740e-03,5.44987881e+01,nan,nan
5.26666026e+01,5.00140290e+02,4.07118193e-03,1.51811247e-03,5.26666026e+01,nan,nan
5.08788419e+01,4.95229159e+02,4.39044468e-03,1.53716522e-03,5.08788419e+01,nan,nan
4.91348537e+01,4.90318152e+02,4.74472123e-03,1.55786956e-03,4.91348537e+01,nan,nan
4.74339890e+01,4.85407250e+02,5.13875047e-03,1.58033956e-03,4.74339890e+01,nan,nan
4.57756017e+01,4.80496450e+02,5.57802740e-03,1.60470057e-03,4.57756017e+01,nan,nan
4.41590491e+01,4.75585747e+02,6.06894289e-03,1.63109056e-03,4.41590491e+01,6.12659787e-03,nan
4.25836916e+01,4.70675136e+02,6.61895170e-03,1.65966160e-03,4.25836916e+01,6.68445535e-03,nan
4.10488930e+01,4.65764617e+02,7.23677454e-03,1.69058160e-03,4.10488930e+01,7.31193519e-03,nan
3.95540203e+01,4.60854185e+02,7.93264683e-03,1.72403625e-03,3.95540203e+01,8.02077629e-03,nan
3.80984440e+01,4.55943826e+02,8.71862006e-03,1.76023131e-03,3.80984440e+01,8.82247773e-03,nan
3.66815375e+01,4.51033530e+02,9.60892983e-03,1.79939510e-03,3.66815375e+01,9.73188523e-03,nan
3.53026779e+01,4.46123283e+02,1.06204501e-02,1.84178151e-03,3.53026779e+01,1.07667281e-02,nan
3.39612455e+01,4.41213075e+02,1.17732514e-02,1.88767330e-03,3.39612455e+01,1.19481342e-02,1.88838969e-03
3.26566242e+01,4.36302892e+02,1.30912949e-02,1.93738608e-03,3.26566242e+01,1.33015205e-02,1.93727343e-03
3.13882010e+01,4.31392714e+02,1.46032957e-02,1.99127291e-03,3.13882010e+01,1.48572471e-02,1.99173763e-03
3.01553665e+01,4.26482528e+02,1.63437965e-02,2.04972942e-03,3.01553665e+01,1.66491060e-02,2.05023272e-03
2.89575145e+01,4.21572319e+02,1.83545199e-02,2.11320002e-03,2.89575145e+01,1.87220236e-02,2.11371985e-03
2.77940426e+01,4.16662075e+02,2.06860698e-02,2.18218501e-03,2.77940426e+01,2.11383306e-02,2.18272344e-03
2.66643515e+01,4.11751782e+02,2.34000891e-02,2.25724900e-03,2.66643515e+01,2.39629935e-02,2.25780842e-03
2.55678457e+01,4.06841430e+02,2.65720011e-02,2.33903069e-03,2.55678457e+01,2.72781096e-02,2.33961377e-03
2.45039329e+01,4.01931012e+02,3.02945181e-02,2.42825447e-03,2.45039329e+01,3.11873564e-02,2.42886425e-03
2.34720246e+01,3.97020515e+02,3.46821575e-02,2.52574418e-03,2.34720246e+01,3.58205832e-02,2.52638411e-03
2.24715359e+01,3.92109928e+02,3.98770707e-02,2.63243930e-03,2.24715359e+01,4.13414123e-02,2.63311332e-03
2.15018853e+01,3.87199256e+02,4.60566069e-02,2.74941392e-03,2.15018853e+01,4.79575941e-02,2.75012659e-03
2.05624951e+01,3.82288501e+02,5.34432341e-02,2.87790012e-03,2.05624951e+01,5.59351181e-02,2.87865667e-03
1.96527914e+01,3.77377674e+02,6.23175495e-02,3.01931521e-03,1.96527914e+01,6.56176070e-02,3.02012172e-03
1.87722039e+01,3.72466796e+02,7.30355073e-02,3.17529478e-03,1.87722039e+01,7.74534487e-02,3.17615833e-03
1.79201663e+01,3.67555895e+02,8.60513774e-02,3.34773285e-03,1.79201663e+01,9.20343228e-02,3.34866174e-03
1.70961159e+01,3.62645002e+02,1.01948508e-01,3.53883022e-03,1.70961159e+01,1.10150864e-01,3.53983423e-03
1.62994942e+01,3.57734154e+02,1.21480863e-01,3.75115344e-03,1.62994942e+01,1.32874881e-01,3.75224412e-03
1.55297465e+01,3.52823410e+02,1.45629408e-01,3.98770605e-03,1.55297465e+01,1.61683366e-01,3.98889718e-03
1.47863222e+01,3.47912796e+02,1.75679753e-01,4.25201968e-03,1.47863222e+01,1.98651634e-01,4.25332776e-03
1.40686745e+01,3.43002361e+02,2.13328735e-01,4.54826066e-03,1.40686745e+01,2.46762729e-01,4.54970557e-03
1.33762609e+01,3.38092089e+02,2.60833967e-01,4.88137131e-03,1.33762609e+01,3.10424691e-01,4.88297721e-03
1.27085430e+01,3.33182003e+02,3.21222172e-01,5.25723349e-03,1.27085430e+01,3.96371989e-01,5.25902990e-03
1.20649866e+01,3.28271823e+02,3.98590840e-01,5.68291064e-03,1.20649866e+01,5.15341836e-01,5.68493395e-03
1.14450618e+01,3.23361220e+02,4.98533562e-01,6.16690767e-03,1.14450618e+01,6.85385322e-01,6.16920315e-03
1.08482428e+01,3.18448149e+02,6.28808756e-01,6.71972160e-03,1.08482428e+01,9.39150073e-01,6.72234629e-03
1.02740069e+01,3.13529122e+02,8.00313763e-01,7.35440090e-03,1.02740069e+01,1.34159277e+00,7.35742765e-03
9.72183416e+00,3.08594102e+02,1.02884841e+00,8.08814631e-03,9.72183416e+00,2.04138183e+00,8.09166925e-03
9.19121919e+00,3.03634477e+02,1.33733413e+00,8.94256626e-03,9.19121919e+00,3.44932690e+00,8.94669926e-03
8.68170907e+00,2.98631662e+02,1.76062650e+00,9.94747762e-03,8.68170907e+00,7.08976982e+00,9.95231000e-03
8.19302073e+00,2.93493917e+02,2.36225096e+00,1.11610994e-02,8.19302073e+00,1.94105178e+01,1.11666325e-02
7.72502187e+00,2.88046843e+02,3.26987530e+00,1.26951988e-02,7.72502187e+00,2.98919378e+01,1.27018638e-02
7.27710756e+00,2.82218427e+02,4.70662691e+00,1.46906701e-02,7.27710756e+00,2.97629777e+01,1.47010233e-02
6.84831465e+00,2.76722616e+02,6.74529532e+00,1.69987633e-02,6.84831465e+00,3.60942323e+01,1.70146632e-02
6.43804737e+00,2.71599009e+02,9.72311530e+00,1.96268834e-02,6.43804737e+00,5.00460422e+01,1.96493370e-02
6.04604580e+00,2.66703176e+02,1.44561769e+01,2.26842432e-02,6.04604580e+00,6.81583172e+01,2.27117802e-02
5.67200353e+00,2.61899350e+02,2.16542947e+01,2.63426436e-02,5.67200353e+00,9.02084493e+01,2.63718250e-02
5.31533366e+00,2.57079111e+02,3.29954328e+01,3.08493525e-02,5.31533366e+00,1.26156912e+02,3.08798653e-02
4.97530435e+00,2.52237302e+02,5.12221756e+01,3.64599299e-02,4.97530435e+00,1.88124063e+02,3.64951526e-02
4.65125468e+00,2.47392023e+02,8.09714434e+01,4.34873145e-02,4.65125468e+00,2.99797366e+02,4.35311583e-02
4.34263866e+00,2.42551266e+02,1.30380447e+02,5.23618764e-02,4.34263866e+00,5.12531000e+02,5.24181439e-02
4.04897402e+00,2.37708012e+02,2.14240103e+02,6.37039405e-02,4.04897402e+00,9.41006661e+02,6.37764359e-02
3.76980508e+00,2.32859746e+02,3.59814453e+02,7.83742641e-02,3.76980508e+00,1.83525500e+03,7.84667625e-02
3.50469323e+00,2.28013213e+02,6.18071779e+02,9.75542769e-02,3.50469323e+00,3.80083823e+03,9.76705905e-02
3.25321214e+00,2.23177879e+02,1.08624899e+03,1.22895762e-01,3.25321214e+00,8.53746005e+03,1.23040661e-01
3.01494052e+00,2.18360052e+02,1.95449703e+03,1.56766716e-01,3.01494052e+00,2.13460695e+04,1.56948174e-01
2.78945639e+00,2.13559094e+02,3.60598659e+03,2.02660509e-01,2.78945639e+00,6.05268404e+04,2.02894187e-01
2.57633571e+00,2.08771247e+02,6.83612739e+03,2.65808009e-01,2.57633571e+00,2.01353069e+05,2.66124138e-01
2.37515241e+00,2.03984690e+02,1.33632317e+04,3.54331684e-01,2.37515241e+00,7.99181839e+05,3.54786910e-01
2.18547893e+00,1.99188899e+02,2.70382585e+04,4.80990059e-01,2.18547893e+00,3.61269683e+06,4.81692800e-01
2.00689132e+00,1.94384052e+02,5.67756843e+04,6.82574982e-01,2.00689132e+00,1.57537337e+07,6.83812315e-01
1.83897793e+00,1.89577816e+02,1.23934305e+05,1.08685212e+00,1.83897793e+00,4.97725728e+07,1.08974853e+00
1.68134138e+00,1.84772940e+02,2.81961548e+05,1.77555610e+00,1.68134138e+00,1.36837213e+08,1.78285653e+00
1.53359414e+00,1.79970287e+02,6.70702895e+05,2.98199007e+00,1.53359414e+00,4.25058594e+08,3.00165466e+00
1.39535586e+00,1.75170140e+02,1.67408298e+06,5.16023633e+00,1.39535586e+00,2.01506875e+09,5.21621581e+00
1.26625158e+00,1.70372394e+02,4.40252680e+06,9.22440336e+00,1.26625158e+00,1.15116629e+10,9.39511041e+00
1.14591097e+00,1.65576675e+02,1.22548536e+07,1.70832830e+01,1.14591097e+00,5.47540110e+10,1.76442443e+01
1.03396868e+00,1.60782386e+02,3.62963278e+07,3.28847387e+01,1.03396868e+00,1.73528138e+11,3.48661640e+01
9.30064439e-01,1.55990055e+02,1.15026467e+08,6.60298970e+01,9.30064439e-01,5.27593203e+11,7.37436330e+01
8.33842878e-01,1.51198707e+02,3.92661038e+08,1.38879355e+02,8.33842878e-01,1.70291752e+12,1.73092599e+02
7.44954123e-01,1.46410603e+02,1.45353360e+09,3.07271343e+02,7.44954123e-01,5.91711613e+12,4.97668683e+02
6.63054129e-01,1.41625875e+02,5.88239021e+09,7.18826764e+02,6.63054129e-01,2.26512378e+13,2.39615285e+03
5.87806596e-01,1.36854491e+02,2.61843313e+10,1.78500665e+03,5.87806596e-01,9.70403238e+13,4.14473521e+04
5.18873412e-01,1.32063155e+02,1.30987928e+11,4.76834886e+03,5.18873412e-01,4.83573804e+14,1.65817345e+06
4.55916905e-01,1.27258810e+02,7.44885119e+11,1.38027820e+04,4.55916905e-01,2.98913080e+15,5.51711177e+07
3.98610472e-01,1.22448748e+02,4.87714400e+12,4.36483346e+04,3.98610472e-01,2.61328300e+16,3.05616434e+08
3.46662625e-01,1.17757387e+02,3.54278225e+13,1.47437708e+05,3.46662625e-01,3.67174018e+17,1.82613597e+09
2.99942986e-01,1.13914688e+02,2.03417212e+14,4.31862696e+05,2.99942986e-01,3.25464024e+18,1.60957360e+10
